id,account_id,occurred_at,channel_name
1,1001,2015-10-06 17:13:00,direct
2,1001,2015-11-05 03:08:00,direct
3,1001,2015-12-04 03:57:00,direct
4,1001,2016-01-02 00:55:00,direct
5,1001,2016-02-01 19:02:00,direct
6,1001,2016-03-02 15:15:00,direct
7,1001,2016-04-01 10:58:00,direct
8,1001,2016-05-01 15:26:00,direct
9,1001,2016-05-31 20:53:00,direct
10,1001,2016-06-30 12:09:00,direct
11,1001,2016-07-30 03:06:00,direct
12,1001,2016-08-28 06:42:00,direct
13,1001,2016-09-26 23:14:00,direct
14,1001,2016-10-26 20:21:00,direct
15,1001,2016-11-25 22:52:00,direct
16,1001,2016-12-24 05:35:00,direct
17,1011,2016-12-21 10:29:00,direct
18,1021,2015-10-12 02:10:00,direct
19,1021,2015-11-11 07:10:00,direct
20,1021,2015-12-11 16:28:00,direct
21,1021,2016-01-10 09:04:00,direct
22,1021,2016-02-09 00:46:00,direct
23,1021,2016-03-10 00:11:00,direct
24,1031,2016-12-25 03:51:00,direct
25,1041,2016-10-14 23:40:00,direct
26,1041,2016-11-13 09:43:00,direct
27,1041,2016-12-12 07:31:00,direct
28,1051,2016-08-02 19:48:00,direct
29,1051,2016-09-01 05:27:00,direct
30,1051,2016-10-01 00:17:00,direct
31,1051,2016-10-31 06:44:00,direct
32,1051,2016-11-30 07:18:00,direct
33,1051,2016-12-30 08:42:00,direct
34,1061,2016-10-19 15:42:00,direct
35,1061,2016-11-17 08:33:00,direct
36,1061,2016-12-16 21:18:00,direct
37,1071,2016-12-13 08:45:00,direct
38,1081,2015-02-12 22:34:00,direct
39,1081,2015-03-13 09:24:00,direct
40,1081,2015-04-12 04:19:00,direct
41,1081,2015-05-12 22:51:00,direct
42,1081,2015-06-11 13:41:00,direct
43,1081,2015-07-11 23:08:00,direct
44,1081,2015-08-09 18:23:00,direct
45,1081,2015-09-07 15:09:00,direct
46,1081,2015-10-07 06:12:00,direct
47,1081,2015-11-06 04:00:00,direct
48,1081,2015-12-05 21:37:00,direct
49,1081,2016-01-03 23:17:00,direct
50,1081,2016-02-01 19:35:00,direct
51,1081,2016-03-02 05:45:00,direct
52,1081,2016-04-01 08:17:00,direct
53,1081,2016-04-30 07:21:00,direct
54,1081,2016-05-30 04:01:00,direct
55,1081,2016-06-28 06:01:00,direct
56,1081,2016-07-28 22:20:00,direct
57,1081,2016-08-26 16:32:00,direct
58,1081,2016-09-24 09:33:00,direct
59,1081,2016-10-24 21:38:00,direct
60,1081,2016-11-23 04:22:00,direct
61,1081,2016-12-23 13:01:00,direct
62,1091,2014-08-15 05:21:00,direct
63,1091,2014-09-13 04:50:00,direct
64,1091,2014-10-13 12:10:00,direct
65,1091,2014-11-12 06:24:00,direct
66,1091,2014-12-11 10:20:00,direct
67,1091,2015-01-09 14:02:00,direct
68,1091,2015-02-08 09:32:00,direct
69,1091,2015-03-09 06:10:00,direct
70,1091,2015-04-07 13:16:00,direct
71,1091,2015-05-06 03:31:00,direct
72,1091,2015-06-05 18:54:00,direct
73,1091,2015-07-05 02:21:00,direct
74,1091,2015-08-03 11:32:00,direct
75,1091,2015-09-01 14:20:00,direct
76,1091,2015-10-01 15:25:00,direct
77,1091,2015-10-31 15:42:00,direct
78,1091,2015-11-29 21:06:00,direct
79,1091,2015-12-28 18:21:00,direct
80,1091,2016-01-26 06:20:00,direct
81,1091,2016-02-25 06:34:00,direct
82,1091,2016-03-25 22:13:00,direct
83,1091,2016-04-24 07:07:00,direct
84,1091,2016-05-23 07:18:00,direct
85,1091,2016-06-22 00:59:00,direct
86,1091,2016-07-21 18:39:00,direct
87,1091,2016-08-20 04:28:00,direct
88,1091,2016-09-18 20:49:00,direct
89,1091,2016-10-17 13:05:00,direct
90,1091,2016-11-15 18:04:00,direct
91,1091,2016-12-14 20:56:00,direct
92,1101,2015-06-24 12:50:00,direct
93,1101,2015-07-24 17:44:00,direct
94,1101,2015-08-22 19:17:00,direct
95,1101,2015-09-21 05:09:00,direct
96,1101,2015-10-21 16:16:00,direct
97,1101,2015-11-20 23:46:00,direct
98,1101,2015-12-19 18:29:00,direct
99,1101,2016-01-17 14:28:00,direct
100,1101,2016-02-15 07:42:00,direct
101,1101,2016-03-15 11:12:00,direct
102,1101,2016-04-13 23:47:00,direct
103,1101,2016-05-13 01:59:00,direct
104,1101,2016-06-12 12:25:00,direct
105,1111,2015-11-15 17:29:00,direct
106,1111,2015-12-15 21:57:00,direct
107,1121,2015-08-26 00:31:00,direct
108,1121,2015-09-25 13:51:00,direct
109,1121,2015-10-24 15:26:00,direct
110,1121,2015-11-22 17:24:00,direct
111,1121,2015-12-21 00:53:00,direct
112,1121,2016-01-20 15:14:00,direct
113,1121,2016-02-19 17:45:00,direct
114,1121,2016-03-19 07:15:00,direct
115,1121,2016-04-18 15:19:00,direct
116,1121,2016-05-17 13:08:00,direct
117,1121,2016-06-16 21:54:00,direct
118,1121,2016-07-15 03:22:00,direct
119,1121,2016-08-13 20:27:00,direct
120,1121,2016-09-11 22:54:00,direct
121,1121,2016-10-10 10:32:00,direct
122,1121,2016-11-08 02:28:00,direct
123,1121,2016-12-07 18:30:00,direct
124,1131,2016-05-13 06:37:00,direct
125,1131,2016-06-12 12:22:00,direct
126,1131,2016-07-11 23:51:00,direct
127,1131,2016-08-10 23:45:00,direct
128,1131,2016-09-09 16:42:00,direct
129,1131,2016-10-09 14:54:00,direct
130,1131,2016-11-07 04:55:00,direct
131,1131,2016-12-07 06:14:00,direct
132,1141,2016-09-24 03:05:00,direct
133,1141,2016-10-23 20:17:00,direct
134,1141,2016-11-22 20:35:00,direct
135,1141,2016-12-21 15:46:00,direct
136,1151,2016-12-30 04:31:00,direct
137,1161,2016-03-06 02:51:00,direct
138,1161,2016-04-05 21:34:00,direct
139,1161,2016-05-05 09:51:00,direct
140,1161,2016-06-04 08:56:00,direct
141,1161,2016-07-03 10:12:00,direct
142,1161,2016-08-01 17:32:00,direct
143,1161,2016-08-31 03:03:00,direct
144,1161,2016-09-29 07:40:00,direct
145,1161,2016-10-28 07:06:00,direct
146,1161,2016-11-26 12:47:00,direct
147,1161,2016-12-25 20:19:00,direct
148,1171,2016-08-24 20:21:00,direct
149,1171,2016-09-23 03:16:00,direct
150,1171,2016-10-22 17:44:00,direct
151,1171,2016-11-20 03:42:00,direct
152,1171,2016-12-20 18:00:00,direct
153,1181,2013-12-17 22:46:00,direct
154,1181,2014-01-16 12:14:00,direct
155,1181,2014-02-14 08:25:00,direct
156,1181,2014-03-16 04:28:00,direct
157,1181,2014-04-14 13:42:00,direct
158,1181,2014-05-14 05:23:00,direct
159,1181,2014-06-13 09:21:00,direct
160,1181,2014-07-13 15:16:00,direct
161,1181,2014-08-12 04:49:00,direct
162,1181,2014-09-10 19:05:00,direct
163,1181,2014-10-10 14:06:00,direct
164,1181,2014-11-09 21:36:00,direct
165,1181,2014-12-09 12:34:00,direct
166,1181,2015-01-08 06:56:00,direct
167,1181,2015-02-06 13:17:00,direct
168,1181,2015-03-08 06:03:00,direct
169,1181,2015-04-06 03:07:00,direct
170,1181,2015-05-06 13:25:00,direct
171,1181,2015-06-05 17:13:00,direct
172,1181,2015-07-04 20:45:00,direct
173,1181,2015-08-03 17:39:00,direct
174,1181,2015-09-01 08:50:00,direct
175,1181,2015-10-01 22:38:00,direct
176,1181,2015-10-31 08:42:00,direct
177,1181,2015-11-29 05:41:00,direct
178,1181,2015-12-28 11:09:00,direct
179,1181,2016-01-26 19:33:00,direct
180,1181,2016-02-25 17:02:00,direct
181,1181,2016-03-25 19:13:00,direct
182,1181,2016-04-24 16:35:00,direct
183,1181,2016-05-23 02:37:00,direct
184,1181,2016-06-22 05:21:00,direct
185,1181,2016-07-21 14:39:00,direct
186,1181,2016-08-19 22:21:00,direct
187,1181,2016-09-18 08:58:00,direct
188,1181,2016-10-18 09:36:00,direct
189,1181,2016-11-17 08:54:00,direct
190,1181,2016-12-17 21:55:00,direct
191,1191,2016-01-24 19:27:00,direct
192,1191,2016-02-23 10:10:00,direct
193,1191,2016-03-23 21:14:00,direct
194,1191,2016-04-22 02:48:00,direct
195,1191,2016-05-21 23:08:00,direct
196,1191,2016-06-20 21:11:00,direct
197,1191,2016-07-19 07:10:00,direct
198,1191,2016-08-18 16:02:00,direct
199,1191,2016-09-17 05:08:00,direct
200,1191,2016-10-16 19:03:00,direct
201,1191,2016-11-15 20:16:00,direct
202,1191,2016-12-15 20:19:00,direct
203,1201,2016-11-12 11:28:00,direct
204,1201,2016-12-11 05:36:00,direct
205,1211,2016-11-22 07:40:00,direct
206,1211,2016-12-21 23:18:00,direct
207,1221,2015-01-20 10:27:00,direct
208,1221,2015-02-18 15:26:00,direct
209,1221,2015-03-19 12:12:00,direct
210,1221,2015-04-17 11:27:00,direct
211,1221,2015-05-16 19:33:00,direct
212,1221,2015-06-15 08:11:00,direct
213,1221,2015-07-15 07:12:00,direct
214,1221,2015-08-14 09:40:00,direct
215,1221,2015-09-12 17:31:00,direct
216,1221,2015-10-11 13:06:00,direct
217,1221,2015-11-09 23:23:00,direct
218,1221,2015-12-08 16:32:00,direct
219,1221,2016-01-06 20:37:00,direct
220,1221,2016-02-04 20:02:00,direct
221,1221,2016-03-04 19:36:00,direct
222,1221,2016-04-03 19:06:00,direct
223,1221,2016-05-03 07:10:00,direct
224,1221,2016-06-01 21:28:00,direct
225,1221,2016-06-30 14:59:00,direct
226,1221,2016-07-29 22:44:00,direct
227,1221,2016-08-27 07:44:00,direct
228,1221,2016-09-26 18:06:00,direct
229,1221,2016-10-26 08:20:00,direct
230,1221,2016-11-25 07:58:00,direct
231,1221,2016-12-24 20:56:00,direct
232,1231,2016-02-26 03:06:00,direct
233,1231,2016-03-27 11:28:00,direct
234,1231,2016-04-26 16:58:00,direct
235,1231,2016-05-26 17:12:00,direct
236,1231,2016-06-25 12:21:00,direct
237,1231,2016-07-24 06:09:00,direct
238,1231,2016-08-23 15:21:00,direct
239,1231,2016-09-22 23:40:00,direct
240,1231,2016-10-21 22:50:00,direct
241,1231,2016-11-20 15:03:00,direct
242,1231,2016-12-20 13:52:00,direct
243,1241,2016-06-14 10:54:00,direct
244,1241,2016-07-13 12:55:00,direct
245,1241,2016-08-11 02:35:00,direct
246,1241,2016-09-09 17:48:00,direct
247,1241,2016-10-08 11:00:00,direct
248,1241,2016-11-07 06:21:00,direct
249,1241,2016-12-06 15:00:00,direct
250,1251,2013-12-11 20:17:00,direct
251,1251,2014-01-09 04:25:00,direct
252,1251,2014-02-07 20:47:00,direct
253,1251,2014-03-08 06:14:00,direct
254,1251,2014-04-07 10:30:00,direct
255,1251,2014-05-07 21:06:00,direct
256,1251,2014-06-06 15:42:00,direct
257,1251,2014-07-05 04:03:00,direct
258,1251,2014-08-04 19:28:00,direct
259,1251,2014-09-03 12:21:00,direct
260,1251,2014-10-02 23:05:00,direct
261,1251,2014-11-01 02:08:00,direct
262,1251,2014-12-01 09:11:00,direct
263,1251,2014-12-30 01:59:00,direct
264,1251,2015-01-28 10:03:00,direct
265,1261,2014-11-12 22:02:00,direct
266,1261,2014-12-11 02:24:00,direct
267,1261,2015-01-09 06:17:00,direct
268,1261,2015-02-07 17:56:00,direct
269,1261,2015-03-08 16:04:00,direct
270,1261,2015-04-07 12:41:00,direct
271,1261,2015-05-06 17:13:00,direct
272,1261,2015-06-04 01:24:00,direct
